S,Curvature,Collision_Distance,Pitch,Roll
715.98,0.0289815,1.7309,0.564114,-1.83759
719.981,0.0288089,1.61235,-0.624339,0.676446
723.98,0.0277889,1.91299,-0.169872,-1.6354
727.981,0.0330736,2.1475,-0.217031,-3.12959
731.98,0.0281165,2.1181,2.85877,-0.477028
735.98,0.0235693,1.79461,-2.20771,1.79781
739.98,0.0211035,4.07285,-0.851544,-3.19323
743.98,0.0102902,2.77777,-0.0435793,-0.409547
747.98,0.00145921,1.71997,-0.117987,-2.60023
751.98,0.00701782,0.948058,-0.115691,-1.4718
755.98,0.00121302,2.01634,1.22511,-0.544192
759.98,0.00150483,1.43016,0.373328,-1.06434
763.98,0.0033556,1.25183,-0.614924,-0.729585
767.98,0.0042106,1.77918,0.0507939,0.206728
771.98,0.0154246,1.72281,-0.168813,3.3655
775.98,0.0223995,1.61815,0.444934,3.61199
779.98,0.031167,1.97013,-0.219088,0.672123
783.98,0.0282134,1.84894,0.258711,-1.08597
787.98,0.0130554,1.73866,-0.332475,0.735588
791.98,0.00358177,2.04127,0.374198,-1.36145
795.98,0.0134828,1.76236,0.0285357,-1.31837
799.98,0.0167779,1.41257,-0.140007,-0.632495
803.98,0.0154711,1.42001,2.26762,0.12192
807.98,0.00351683,1.59383,-2.95312,5.00019
811.98,0.0143434,1.50783,0.113625,-0.440338
815.98,0.0225659,1.78433,0.478686,1.68869
819.98,0.0341068,1.62756,1.11033,-0.628017
823.98,0.0349506,1.5895,-0.397181,0.266734
827.979,0.0373463,1.23487,-0.854432,0.100426
831.979,0.0325423,1.76406,0.252141,-0.0069177
835.979,0.0188022,1.53494,-0.301541,-1.8063
839.979,0.0125711,1.75686,0.387366,-1.55596
843.979,0.00424976,1.54298,3.50636,-1.47086
847.979,0.0140595,1.50239,-3.26793,-0.624851
851.979,0.0219038,1.98368,1.09662,-1.03879
855.979,0.0225745,1.54118,-0.990144,2.67054
859.979,0.0315307,2.00328,-1.66689,4.98506
863.979,0.0365664,1.11886,-0.0240201,-0.465927
867.979,0.0418605,1.04253,1.70019,2.43001
871.978,0.0338851,1.29168,-1.48756,-3.03047
875.979,0.0127166,2.27438,1.59878,0.302863
879.978,0.00112924,1.55657,0.542213,-0.259057
883.978,0.00538801,1.58464,-0.879139,0.179331
887.978,0.00169286,1.98207,0.251229,-0.970034
891.978,0.00446644,1.34221,-0.522256,-3.6568
895.978,0.00129883,2.27345,-0.069963,0.840786
899.979,0.0107445,1.20524,-0.175711,-0.992919
903.978,0.0185099,1.27383,1.25419,0.261894
907.979,0.0216704,1.69917,-1.08624,-0.938497
911.978,0.0208345,1.3381,-0.262586,3.14669
915.978,0.0167366,1.28186,0.565262,-0.568298
919.978,0.016103,1.95763,-0.136868,1.95415
923.978,0.0143564,2.81584,0.374425,0.0428326
927.978,0.0155112,2.69616,0.547094,-0.815731
931.978,0.0135013,2.40184,0.0814935,-1.52819
935.978,0.0119864,1.35863,-0.911964,-0.0459937
939.978,0.0196567,2.49075,0.0720137,0.835939
943.979,0.0291691,2.4788,1.17328,-0.645253
947.977,0.0264057,2.92645,-0.213722,-0.310695
951.978,0.00964977,2.13603,0.0519728,-0.522076
955.978,0.0145341,2.27161,-3.18054,-0.487905
959.978,0.0331861,2.34166,0.020996,1.10996
963.978,0.0400296,2.12632,-0.0356021,0.637574
967.976,0.0334158,1.68084,0.330649,1.36111
971.978,0.0280529,1.96529,1.00946,-2.10151
975.978,0.0238061,2.66835,-nan,-7.85412
977.987,0.0238061,1.44226,-2.1331,-nan
