S,Curvature,Collision_Distance,Pitch,Roll
202.535,0,0.4,-3.51585,nan
202.935,1.58114,0.4,nan,nan
203.501,1.58114,0.4,-0.357231,nan
203.901,0,0.4,1.00458,nan
204.301,0,0.4,1.40594,nan
204.701,0,0.4,4.7596,nan
205.101,0,0.4,-0.833445,nan
205.501,0,0.4,-0.781153,nan
205.901,1.58114,0.4,nan,nan
206.467,1.58114,0.4,-1.30701,nan
206.867,0,0.4,0.694036,nan
207.267,0,0.4,-0.852917,nan
207.667,0,0.4,-1.15046,nan
208.067,0,0.4,-0.166297,nan
208.467,0,0.4,-0.288705,nan
208.867,0,0.4,0.0644033,nan
209.267,1.58114,0.4,nan,nan
209.832,1.58114,0.4,-1.85751,nan
210.232,0,0.4,0.496727,nan
210.632,0,0.4,-0.284357,nan
211.032,0,0.4,0.955837,nan
211.432,1.58114,0.4,nan,nan
211.998,1.58114,0.4,0.25034,nan
212.398,0,0.565685,0.454365,nan
212.798,0,0.4,0.315271,nan
213.198,0,0.4,0.28025,nan
213.598,0,0.4,-0.301235,nan
213.998,0,0.4,-0.243789,nan
214.398,1.58114,0.4,nan,nan
214.964,1.58114,0.4,-0.278475,nan
215.364,0,0.4,-0.66734,nan
215.764,0,0.4,-1.07942,nan
216.164,0,0.4,-0.691245,nan
216.564,0,0.4,-0.694773,nan
216.964,0,0.4,-0.30408,nan
217.364,0,0.4,0.214211,nan
217.764,0,0.4,nan,nan
218.164,1.58114,0.4,nan,nan
218.729,1.58114,0.4,nan,nan
219.129,0,0.4,0.913724,nan
219.529,0,0.4,1.65604,nan
219.929,0,0.4,1.20436,nan
220.329,0,0.4,nan,nan
220.729,0,0.4,nan,nan
221.129,1.58114,0.4,nan,nan
221.695,1.58114,0.4,nan,nan
222.095,0,0.4,-0.0205553,nan
222.495,0,0.4,0.093295,nan
222.895,1.58114,0.4,nan,nan
223.461,1.58114,0.4,-0.982547,nan
223.861,0,0.4,-0.550321,nan
224.261,0,0.4,0.0928295,nan
224.661,0,0.4,-0.0564605,nan
225.061,0,0.4,0.469451,nan
225.461,0,0.4,nan,nan
225.861,1.58114,0.4,nan,nan
226.426,1.58114,0.4,-0.301271,nan
226.826,0,0.4,0.550512,nan
227.226,0,0.4,-0.24228,nan
227.626,0,0.4,0.105464,nan
228.026,0,0.4,0.494331,nan
228.426,0,0.4,-0.314953,nan
228.826,0,0.4,-0.56641,-0.697851
229.226,0,0.4,-0.281618,-0.505656
229.626,0,0.565685,-0.489812,0.171882
230.026,0,0.894427,0.298039,0.0931079
230.426,0,1.13137,-0.0722185,-0.839612
230.826,0,0.894427,-0.544145,-0.904044
231.226,0,0.565685,-0.166126,-0.915805
231.626,0,0.4,-0.529038,nan
232.026,0,0.4,-0.51778,nan
232.426,0,0.565685,0.135734,nan
232.826,1.58114,0.4,0.251371,nan
233.392,1.58114,0.4,1.37239,nan
233.792,0,0.4,-0.561135,nan
234.192,0,0.4,-0.385349,nan
234.592,0,0.4,-0.189807,nan
234.992,0,0.4,-0.0914419,nan
235.392,0,0.4,0.0408751,nan
235.792,0,0.4,-0.294261,nan
236.192,1.58114,0.4,nan,nan
236.758,1.58114,0.4,0.893527,nan
237.158,0,0.4,-0.228869,nan
237.558,0,0.565685,0.382204,nan
237.958,0,0.4,0.0854241,nan
238.358,0,0.4,-0.299822,nan
238.758,1.58114,0.4,nan,nan
239.323,1.58114,0.4,0.0195935,nan
239.723,0,0.4,0.210746,nan
240.123,0,0.4,0.402463,nan
240.523,0,0.4,-0.328421,nan
240.923,0,0.4,-0.484364,nan
241.323,0,0.4,0.208431,nan
241.723,1.58114,0.4,nan,nan
242.289,1.58114,0.4,-0.190626,nan
242.689,0,0.4,-0.255032,nan
243.089,0,0.4,0.00780259,nan
243.489,0,0.565685,-0.29622,nan
243.889,0,0.4,-0.527896,nan
244.289,0,0.4,-0.562325,nan
244.689,1.58114,0.4,nan,nan
245.255,1.58114,0.4,-0.333132,nan
245.655,0,0.4,0.855633,nan
246.055,0,0.4,2.17053,nan
246.455,0,0.4,2.48695,nan
246.855,0,0.4,-0.22716,nan
247.255,0,0.4,0.276361,nan
247.655,1.58114,0.4,nan,nan
248.221,1.58114,0.4,0.429224,nan
248.621,0,0.565685,-0.494779,nan
249.021,0,0.4,-0.389821,nan
249.421,0,0.4,0.0263178,nan
249.821,0,0.4,-1.53726,nan
250.221,0,0.4,-1.65472,nan
250.621,1.58114,0.4,nan,nan
251.186,1.58114,0.4,-0.31158,nan
251.586,0,0.4,2.34582,nan
251.986,0,0.4,1.09895,nan
252.386,0,0.4,0.864964,nan
252.786,0,0.4,0.326857,nan
253.186,0,0.4,0.936388,nan
253.586,1.58114,0.4,nan,nan
254.152,1.58114,0.4,-0.651431,nan
254.552,0,0.4,-1.29649,nan
254.952,0,0.4,-0.893369,nan
255.352,0,0.4,-0.992897,nan
255.752,0,0.4,-0.137954,nan
256.152,1.58114,0.4,nan,nan
256.718,1.58114,0.4,3.10656,nan
257.118,0,0.4,1.35092,nan
257.518,0,0.4,-0.183279,nan
257.918,0,0.4,-0.917987,nan
258.318,0,0.4,0.947561,nan
258.718,0,0.4,2.32109,nan
259.118,0,0.4,2.94846,nan
259.518,1.58114,0.4,nan,nan
260.083,1.58114,0.4,-1.33407,nan
260.483,0,0.4,-1.68023,nan
260.883,0,0.4,-2.64363,nan
261.283,0,0.4,-1.18593,nan
261.683,0,0.4,0.196345,nan
262.083,1.58114,0.4,nan,nan
262.649,1.58114,0.4,-1.72761,nan
263.049,0,0.4,-1.14347,nan
263.449,0,0.4,0.0704085,nan
263.849,0,0.4,0.534452,nan
264.249,0,0.4,-0.251184,nan
264.649,0,0.4,0.153757,nan
265.049,1.58114,0.4,nan,nan
265.615,1.58114,0.4,0.537329,nan
266.015,0,0.4,-0.320867,nan
266.415,0,0.4,0.752642,nan
266.815,0,0.4,1.21057,nan
267.215,0,0.4,-0.089258,nan
267.615,0,0.4,-0.553352,nan
268.015,1.58114,0.4,nan,nan
268.58,1.58114,0.4,0.978767,nan
268.98,0,0.4,6.76892,nan
269.38,0,0.4,8.20651,nan
269.78,0,0.565685,6.57279,nan
270.18,0,0.4,3.94373,nan
270.58,0,0.4,5.10368,nan
270.98,1.58114,0.4,nan,nan
271.546,1.58114,0.4,0.427708,nan
271.946,0,0.565685,4.97096,nan
272.346,0,0.4,4.99877,nan
272.746,0,0.4,0.182165,nan
273.146,0,0.4,-2.9485,nan
273.546,0,0.565685,3.29031,nan
273.946,1.58114,0.4,nan,nan
274.512,1.58114,0.4,-6.69564,nan
274.912,0,0.565685,0.334334,nan
275.312,0,0.4,-0.471417,nan
275.712,0,0.4,4.02723,nan
276.112,0,0.4,14.5633,nan
276.512,0,0.4,7.35079,nan
276.912,1.58114,0.4,nan,nan
277.477,1.58114,0.4,-9.86737,nan
277.877,0,0.4,2.63915,nan
278.277,0,0.4,7.14893,nan
278.677,0,0.4,1.04904,nan
279.077,0,0.4,0.481959,nan
279.477,0,0.4,0.157702,nan
279.877,0,0.4,-5.79648,nan
280.277,1.58114,0.4,nan,nan
280.843,1.58114,0.4,-0.289787,nan
281.243,0,0.4,-0.17559,nan
281.643,0,0.4,1.69282,nan
282.043,0,0.565685,3.77848,nan
282.443,0,0.4,2.03454,nan
282.843,1.58114,0.4,nan,nan
283.409,1.58114,0.4,-0.256438,nan
283.809,0,0.4,0.409284,nan
284.209,0,0.4,0.131851,nan
284.609,0,0.4,0.144324,nan
285.009,0,0.4,0.538301,nan
285.409,0,0.4,-1.56359,nan
285.809,1.58114,0.4,nan,nan
286.374,1.58114,0.4,-2.41275,nan
286.774,0,0.4,-0.349616,nan
287.174,0,0.4,0.992414,nan
287.574,0,0.4,3.14413,nan
287.974,0,0.4,9.40951,nan
288.374,0,0.4,23.9722,nan
288.774,1.58114,0.4,nan,nan
289.34,1.58114,0.4,-0.19821,nan
289.74,0,0.4,0.695792,nan
290.14,0,0.4,1.53158,nan
290.54,0,0.4,2.44621,nan
290.94,0,0.565685,2.42189,nan
291.34,0,0.4,1.38917,nan
291.74,1.58114,0.4,nan,nan
292.306,1.58114,0.4,-22.8433,nan
292.706,0,0.4,0.792944,nan
293.106,0,0.4,1.77475,nan
293.506,0,0.4,1.55885,nan
293.906,0,0.4,2.38374,nan
294.306,1.58114,0.4,nan,nan
294.871,1.58114,0.4,-3.05171,nan
295.271,0,0.4,0.592665,nan
295.671,0,0.4,0.846425,nan
296.071,0,0.4,0.334944,nan
296.471,0,0.565685,1.06455,nan
296.871,0,0.4,1.49959,nan
297.271,0,0.4,8.90618,nan
297.671,1.58114,0.4,nan,nan
298.237,1.58114,0.4,-4.54032,nan
